identificacion,corte_mes,saldo
K2DBNBQ09G1QCCD7W,6/30/2024,1952587
D7UUQ6CP4DWYGZF0Z,11/30/2023,1286119
A4LKAXWACFA995KE1,7/31/2023,3232637
K2DBNBQ09G1QCCD7W,8/31/2023,5341776
E0P3U76BSR8JVOEAS,1/31/2023,6034172
3QWPW0GFU2JIA5UE4,7/31/2023,2078563
6O996AT92IZ9926S5,6/30/2023,4729796
Z4HM8TL716AK8U17L,8/31/2024,1433169
73LDIXZVJOQFRMHNZ,1/31/2024,3502399
KVXACS7SB5O59ARQP,1/31/2023,1639562
375WULANW2HVOVK5J,7/31/2024,6743833
G6R001Q73KLXUDPTV,3/31/2023,6103202
7AQPGU50TED28A7G6,1/31/2024,2599829
9F27PNL29KIWUI8V1,2/28/2023,430158
BJSA6PK9IP3QNY0GU,4/30/2024,6073588
RRS0030J6RHTUQ2RK,2/29/2024,6064578
RRS0030J6RHTUQ2RK,2/28/2023,1864454
D0HW4TD0CUW9XJQPX,9/30/2023,125472
T3ZXYYXXBKASGDXYG,1/31/2023,4905582
KLRH1ZESF492S056H,5/31/2023,1755627
BOWGL6ZFJ8V4E620T,10/31/2024,1844637
Y6PZ8ICUVSNUUVGC6,9/30/2023,4061095
1LFTDYT2H0I9ZG3S8,8/31/2023,5242465
OBPVWFPY1GIGMACGG,10/31/2023,1898270
NYD2J0FAEI05SQVAY,2/28/2023,1313388
KUD4O3VLEGN7O0D3B,1/31/2023,2212644
ORSVN3W6R6KI4L6K7,4/30/2024,335713
V1SRV6QGJWWC8JVW0,10/31/2024,6987381
5CS7MKN5CCCZTYEH8,10/31/2024,4440081
J899WRG0VOOF1WON0,6/30/2023,1550693
1LFTDYT2H0I9ZG3S8,7/31/2024,2262060
0TTW5R9RRCJ0A9E5F,1/31/2024,6288473
A4LKAXWACFA995KE1,5/31/2023,2984225
KXDUI2BQC1ZQ25O4C,12/31/2023,837286
FA2OC6FGIMI4S37PU,5/31/2023,2739365
4TL0TI5WAALM6P0AH,8/31/2023,6245758
0TTW5R9RRCJ0A9E5F,8/31/2024,1605607
XRD31U4F7GM99U92O,8/31/2024,5840103
IC9TR053SOF1562RK,5/31/2024,4661083
DWJ0GFUKS12L7Y0G9,10/31/2023,1454249
D0HW4TD0CUW9XJQPX,2/28/2023,1010390
SUK8675QWKY38XUZB,11/30/2023,5343028
X4YOXMSTBUXXCUOGK,6/30/2023,2866238
6N7C2M20A97S9IENG,2/29/2024,5379763
9IL03MCKH41ZX8EVC,10/31/2024,6169570
UP8K03IYUM8HZ8NLC,9/30/2023,6673387
L8NOLOQ0MHSBXLPC8,8/31/2023,5076148
9IL03MCKH41ZX8EVC,8/31/2023,5553284
AERG7GPQIBQXOGOHX,1/31/2023,1969443
Y144TELK1D0Z0KLVV,3/31/2024,6253565
OQ5Y6DD3YNNZYDOK7,5/31/2023,155807
VU97XYAGZZS7LOG4E,3/31/2024,4573876
BUDE132ZGBWCF5SIZ,12/31/2023,6889443
QNCADSU9WB6X6JEXE,5/31/2024,5956511
T3ZXYYXXBKASGDXYG,6/30/2024,1301663
C89YVYS8RINE8LHLO,8/31/2023,4335497
BOWGL6ZFJ8V4E620T,12/31/2023,6474374
MHREEFELDOONUMCHP,2/29/2024,5350253
HDTGP1H5F336COXZX,12/31/2024,2102714
Y9LTUSGD9M83VAB0I,1/31/2023,5225251
JTZWA92S5243CPZDG,11/30/2023,4336718
K7OLAZQZTOKBXBQVR,1/31/2023,1790575
SKH4GHZSBWP3QGNNK,8/31/2024,3730080
IAXUMLO4Y4HXEEHHC,10/31/2024,1131725
KLRH1ZESF492S056H,4/30/2023,2997320
FGGU9EADWBBLHKHYI,12/31/2023,2211279
NDN0JWDWD4PJPHKO9,9/30/2023,6958549
AERG7GPQIBQXOGOHX,5/31/2024,3213941
BUDE132ZGBWCF5SIZ,9/30/2023,6170916
HDTGP1H5F336COXZX,4/30/2023,701438
9G2XZ3XNAY7J6KTJN,8/31/2023,1255838
83Y10YDW1OI06N9ZM,4/30/2023,5584469
PEYORPWSHOAUXOPB8,1/31/2024,2727587
4GM0V34SHZCQY338K,8/31/2024,3695458
7MQU99ZO49YXI2EDE,8/31/2024,2433652
T3ZXYYXXBKASGDXYG,7/31/2023,2509507
V1SRV6QGJWWC8JVW0,1/31/2023,6261083
1LFTDYT2H0I9ZG3S8,12/31/2024,6203597
T16X6RLA2J523LYRZ,12/31/2023,5307232
5P7TLU9HROJCCH8XF,10/31/2024,5606014
63FO2A0KBYVLDNRAA,2/28/2023,2697704
5VVHS1PF81H0K03QN,3/31/2023,4741549
RRS0030J6RHTUQ2RK,6/30/2024,3790942
KUD4O3VLEGN7O0D3B,5/31/2023,1581255
WLHSCECOGSRZSUK44,8/31/2024,2030637
BJSA6PK9IP3QNY0GU,10/31/2023,5604118
THJ9OBJH3W6ANRCMS,7/31/2024,402125
6N7C2M20A97S9IENG,2/28/2023,3138053
L8NOLOQ0MHSBXLPC8,1/31/2024,5970729
BQLAQGMLUN5Y6VU3U,2/29/2024,71990
I9WWI0Z0BQBBIKN76,9/30/2023,3605204
3PS05CCLIJVJ8J2KT,3/31/2024,1311750
8JB7CPERPX344FYNY,3/31/2023,2314233
SSP73CDZATG8LX9V1,4/30/2024,2078461
AXH5M6W00RW6A1MRV,12/31/2023,2057810
JTZWA92S5243CPZDG,6/30/2023,5978375
GFMBMLM8423RIAEDD,6/30/2024,4884520
L8NOLOQ0MHSBXLPC8,3/31/2024,1912349
1MFXZRYV4MFOBXIAJ,12/31/2024,4735430
AXH5M6W00RW6A1MRV,11/30/2024,95745
PEYORPWSHOAUXOPB8,2/28/2023,5920684
FQJP2PBU50DG45YX3,2/29/2024,3212025
WLHSCECOGSRZSUK44,1/31/2024,6760520
PQHMTD7TS2Q7AM9C6,5/31/2024,5300433
J899WRG0VOOF1WON0,9/30/2023,6269975
E0ZB60NF3G5K4VREU,3/31/2023,2312735
DJXLPRMY5ZZMANLU6,1/31/2023,5870951
NDN0JWDWD4PJPHKO9,5/31/2023,3458137
KXDUI2BQC1ZQ25O4C,7/31/2024,3027700
KXDUI2BQC1ZQ25O4C,2/29/2024,6676794
6T645BU8TYM8VGXKO,11/30/2024,5527433
EX2GMK7UHXBM6P2OW,12/31/2024,2555605
6T645BU8TYM8VGXKO,3/31/2023,616238
FXIQJ8T0RNKU5YYZL,2/29/2024,4803680
4HER62QO48L3HOLG6,5/31/2023,1552205
R6XC1HPW2F2OYGFS2,12/31/2023,3432131
0TTW5R9RRCJ0A9E5F,2/28/2023,2724586
IC9TR053SOF1562RK,9/30/2023,4997717
K7OLAZQZTOKBXBQVR,1/31/2024,1185591
MUIZHHC8NUPU3856X,8/31/2024,1488475
FGGU9EADWBBLHKHYI,6/30/2024,5516684
U5I6FRV4Z2WTHAYXA,10/31/2023,1538939
K2DBNBQ09G1QCCD7W,3/31/2023,3497298
3PS05CCLIJVJ8J2KT,5/31/2023,5021086
ITDKGZGY3D1CQ22P4,8/31/2023,400863
5VVHS1PF81H0K03QN,7/31/2023,1575278
BUDE132ZGBWCF5SIZ,8/31/2024,82431
3PS05CCLIJVJ8J2KT,12/31/2024,2761722
SSP73CDZATG8LX9V1,12/31/2023,3011200
PSRCQ6DW4S2N7175C,2/28/2023,354243
09SYGN7IXDQV5X9IP,5/31/2024,5006980
GFMBMLM8423RIAEDD,1/31/2023,566292
5CS7MKN5CCCZTYEH8,8/31/2024,1342881
UXT0SVW2ICMQTZACJ,2/28/2023,4802357
DLTTACGP89H6U008M,6/30/2024,1459506
BJ37EOP5EGMDLO3MP,1/31/2023,4704737
VHX791SAUG7W7R63P,9/30/2024,4260169
A4JYPUIFCGXQSH8XL,1/31/2023,3529198
FBMRRTAV36KC40D1Z,2/28/2023,3013531
UOHQ6DHPAN7V486JH,10/31/2023,478896
VZPJAHRX89B2CPA40,9/30/2023,1976790
DLRDFJ40BGVP9H10W,3/31/2023,4760805
09SYGN7IXDQV5X9IP,1/31/2023,235083
R6XC1HPW2F2OYGFS2,7/31/2023,3611344
IC9TR053SOF1562RK,12/31/2024,4680872
KVXACS7SB5O59ARQP,9/30/2024,1641242
V4LNPTIOKCV53PIHE,6/30/2023,4140302
Y6PZ8ICUVSNUUVGC6,9/30/2024,5497937
V1SRV6QGJWWC8JVW0,12/31/2023,5725095
RVDHIRC8T2IA2OUOW,11/30/2023,1091178
0TTW5R9RRCJ0A9E5F,8/31/2023,1715629
E0ZB60NF3G5K4VREU,3/31/2024,547070
KLRH1ZESF492S056H,6/30/2023,5430802
KCLWQ204AZ5D2W8QN,2/28/2023,2706275
E0P3U76BSR8JVOEAS,11/30/2024,5703759
09SYGN7IXDQV5X9IP,5/31/2023,4101390
I9WWI0Z0BQBBIKN76,1/31/2024,1274687
IHBDM8XWHP0LUZ7NR,4/30/2024,745916
ITDKGZGY3D1CQ22P4,6/30/2023,5104128
VU97XYAGZZS7LOG4E,3/31/2023,6355062
FBMRRTAV36KC40D1Z,1/31/2023,794899
K7OLAZQZTOKBXBQVR,6/30/2023,5450949
DWJ0GFUKS12L7Y0G9,9/30/2023,2859033
KUD4O3VLEGN7O0D3B,8/31/2023,5483886
VIOMZ3660T8XTY6RC,11/30/2024,6153146
G6R001Q73KLXUDPTV,9/30/2024,4548627
XTUS49QJ4P8A8OCOB,8/31/2023,2293984
RRS0030J6RHTUQ2RK,7/31/2024,6980455
H9QCKG6XB01NQCZO9,9/30/2023,2952308
V2NG3GK779G8J7A0S,8/31/2023,4404257
WLHSCECOGSRZSUK44,3/31/2024,5480978
9F27PNL29KIWUI8V1,10/31/2023,4921546
OBPVWFPY1GIGMACGG,4/30/2023,3694682
AXH5M6W00RW6A1MRV,10/31/2024,6723506
NDN0JWDWD4PJPHKO9,12/31/2024,678289
LMHCV45KAJNLAV6CI,1/31/2023,4282592
LATSV8PKLN0G0XSCQ,1/31/2024,5215881
XEVZL0LOYONKMBWZY,5/31/2024,20399
9F27PNL29KIWUI8V1,5/31/2023,4106687
V4LNPTIOKCV53PIHE,2/29/2024,1565954
Z4HM8TL716AK8U17L,12/31/2024,6890549
SKH4GHZSBWP3QGNNK,11/30/2023,3877048
9DQS2WEXYFKHTNXUB,7/31/2024,6569787
FDS0N1SJL1R9K1IB4,4/30/2024,3144429
AIQASN1W6XH7O9AI8,2/28/2023,1397842
ITDKGZGY3D1CQ22P4,3/31/2023,3597627
NYD2J0FAEI05SQVAY,10/31/2023,6913911
WLHSCECOGSRZSUK44,8/31/2023,2110878
OQ5Y6DD3YNNZYDOK7,12/31/2023,4031199
KIULTEGOP4LWPVDNF,9/30/2023,5300187
ITDKGZGY3D1CQ22P4,4/30/2023,4754355
7ZQT4ZSYX2JJH3BHK,10/31/2023,2389729
5VVHS1PF81H0K03QN,5/31/2023,6577701
GFMBMLM8423RIAEDD,4/30/2024,1641732
X4YOXMSTBUXXCUOGK,10/31/2024,5422764
KLRH1ZESF492S056H,11/30/2023,5792174
BOWGL6ZFJ8V4E620T,8/31/2023,2555415
EX2GMK7UHXBM6P2OW,6/30/2024,1722681
2XCK13Y6KY3FTUJ0T,5/31/2024,6849331
AIQASN1W6XH7O9AI8,9/30/2024,3588101
Z8WH1L99SI8KI6NIV,8/31/2023,4286152
MGD1S17DROU71KI80,3/31/2023,5630635
OL2AN4Q8PF7T5DNJA,7/31/2024,2228194
IHBDM8XWHP0LUZ7NR,11/30/2023,287164
OEZ236PKMC6MBM3TB,11/30/2023,4692086
JTZWA92S5243CPZDG,7/31/2023,3726656
KXDUI2BQC1ZQ25O4C,2/28/2023,6283198
XYYJ1CS2J4N0KXRG2,1/31/2023,5216411
ORSVN3W6R6KI4L6K7,9/30/2024,67446
E0ZB60NF3G5K4VREU,8/31/2024,1175504
WLHSCECOGSRZSUK44,2/28/2023,6002967
FBMRRTAV36KC40D1Z,2/29/2024,4784841
1LFTDYT2H0I9ZG3S8,9/30/2023,3007275
9NWFWJ38XN31WBFXG,9/30/2024,1956962
7MQU99ZO49YXI2EDE,7/31/2023,1223421
AIQASN1W6XH7O9AI8,3/31/2024,2433230
ZBRHGSC2D0501QLTX,6/30/2024,1955281
375WULANW2HVOVK5J,8/31/2024,469149
2XCK13Y6KY3FTUJ0T,1/31/2024,388472
LYQEIHF686T8C6FUH,7/31/2024,771657
VHX791SAUG7W7R63P,7/31/2023,5011225
OJQZJBSXV2EELB04H,6/30/2023,4970235
79KX9A87LHVX4DRM4,12/31/2024,4433826
BOWGL6ZFJ8V4E620T,6/30/2024,5834770
IAXUMLO4Y4HXEEHHC,5/31/2023,6569188
N28ZTD9G5EYTS9PZY,3/31/2024,6704993
MHREEFELDOONUMCHP,11/30/2024,4586785
AIQASN1W6XH7O9AI8,11/30/2023,6752015
YVS0D5GU52ULP7YLI,4/30/2023,249560
375WULANW2HVOVK5J,6/30/2023,574391
V1SRV6QGJWWC8JVW0,6/30/2023,1191591
9Y4LCJDQLDU43LOK4,3/31/2023,2163687
3PS05CCLIJVJ8J2KT,10/31/2023,5886792
IAXUMLO4Y4HXEEHHC,7/31/2023,613758
2XCK13Y6KY3FTUJ0T,4/30/2023,1186315
MGD1S17DROU71KI80,3/31/2024,6516776
RVDHIRC8T2IA2OUOW,1/31/2023,6917556
09SYGN7IXDQV5X9IP,7/31/2024,6431670
3QWPW0GFU2JIA5UE4,6/30/2023,3922841
977FYO2GIYKZOIEB6,10/31/2023,1398159
OBPVWFPY1GIGMACGG,6/30/2023,3369932
E0P3U76BSR8JVOEAS,2/28/2023,6004978
SSP73CDZATG8LX9V1,11/30/2023,287471
79KX9A87LHVX4DRM4,9/30/2024,2550291
YVS0D5GU52ULP7YLI,11/30/2023,5114311
AIQASN1W6XH7O9AI8,10/31/2024,6645035
T3ZXYYXXBKASGDXYG,3/31/2023,3361495
PEYORPWSHOAUXOPB8,8/31/2023,3760189
73LDIXZVJOQFRMHNZ,9/30/2024,4375527
5SKDNN35BDFYCRZ3T,4/30/2023,924562
8JB7CPERPX344FYNY,12/31/2023,5484045
N28ZTD9G5EYTS9PZY,3/31/2023,2163940
0TQ17VI65FDDKT227,12/31/2023,5721914
5CS7MKN5CCCZTYEH8,12/31/2024,4693139
OL2AN4Q8PF7T5DNJA,11/30/2023,4953670
AXH5M6W00RW6A1MRV,2/29/2024,6690766
9NWFWJ38XN31WBFXG,6/30/2023,2765342
RVDHIRC8T2IA2OUOW,7/31/2023,6857083
H9QCKG6XB01NQCZO9,7/31/2023,5273566
1MFXZRYV4MFOBXIAJ,5/31/2024,404870
EX2GMK7UHXBM6P2OW,7/31/2024,3767239
XT6P8GPRWDSJSYZKR,5/31/2023,168047
ITDKGZGY3D1CQ22P4,11/30/2023,4700835
51UQ4XPBN39O7QIOO,3/31/2024,6642615
U01UYM0KLQO7ZMKXL,8/31/2024,1383101
F5AUCVPQMIXFMLKNY,10/31/2023,6038899
K7OLAZQZTOKBXBQVR,9/30/2024,1780659
J899WRG0VOOF1WON0,2/29/2024,4660198
IGOQX9XYBSRDMOZXT,10/31/2023,5320878
OEZ236PKMC6MBM3TB,1/31/2024,85160
K4BAGGWMVBZXC8Z0R,8/31/2024,1278051
7AQPGU50TED28A7G6,11/30/2023,5176020
IC9TR053SOF1562RK,10/31/2023,2438794
H9QCKG6XB01NQCZO9,7/31/2024,5695588
9DQS2WEXYFKHTNXUB,5/31/2023,6499198
3QWPW0GFU2JIA5UE4,7/31/2024,5830274
F5AUCVPQMIXFMLKNY,2/29/2024,6878619
E0ZB60NF3G5K4VREU,2/29/2024,4735744
ITDKGZGY3D1CQ22P4,5/31/2024,1803736
MUIZHHC8NUPU3856X,9/30/2023,3408278
977FYO2GIYKZOIEB6,6/30/2023,6569648
NYD2J0FAEI05SQVAY,10/31/2024,5558724
6RNZ6V20ZBCHCCIPT,6/30/2024,216676
KVXACS7SB5O59ARQP,11/30/2023,4101096
5VVHS1PF81H0K03QN,5/31/2024,4078090
E0ZB60NF3G5K4VREU,2/28/2023,1622272
51UQ4XPBN39O7QIOO,5/31/2024,348594
XEVZL0LOYONKMBWZY,1/31/2024,3074715
FDS0N1SJL1R9K1IB4,8/31/2024,2766986
OL2AN4Q8PF7T5DNJA,10/31/2023,2531386
PEYORPWSHOAUXOPB8,10/31/2024,6857034
BJ37EOP5EGMDLO3MP,7/31/2023,5028695
8JB7CPERPX344FYNY,3/31/2024,5288896
AXH5M6W00RW6A1MRV,6/30/2023,4315749
IGOQX9XYBSRDMOZXT,9/30/2023,5476344
T16X6RLA2J523LYRZ,8/31/2024,2459294
WI9LBMXJ0YIBEJ357,9/30/2023,5544945
UXT0SVW2ICMQTZACJ,8/31/2024,1286930
4M67RWDJ0PY180OMY,9/30/2023,5429158
Y6PZ8ICUVSNUUVGC6,10/31/2023,3034102
7AQPGU50TED28A7G6,9/30/2023,4430379
4TL0TI5WAALM6P0AH,1/31/2023,3056238
ORSVN3W6R6KI4L6K7,11/30/2024,4709541
DLTTACGP89H6U008M,9/30/2024,467391
YVS0D5GU52ULP7YLI,9/30/2024,4260769
4HER62QO48L3HOLG6,4/30/2023,3620056
XEVZL0LOYONKMBWZY,3/31/2023,2561507
15J0ZCH8C1O665RTF,9/30/2023,3738038
A4LKAXWACFA995KE1,11/30/2024,6030219
ORSVN3W6R6KI4L6K7,12/31/2023,2420100
RVDHIRC8T2IA2OUOW,8/31/2024,5367807
FBMRRTAV36KC40D1Z,7/31/2023,4890610
Y6PZ8ICUVSNUUVGC6,3/31/2023,6411316
UOHQ6DHPAN7V486JH,11/30/2024,5602522
E0ZB60NF3G5K4VREU,11/30/2023,2374734
D7UUQ6CP4DWYGZF0Z,4/30/2023,1064949
A4JYPUIFCGXQSH8XL,12/31/2024,2185436
73LDIXZVJOQFRMHNZ,3/31/2024,404685
NDN0JWDWD4PJPHKO9,7/31/2024,758301
73LDIXZVJOQFRMHNZ,11/30/2023,3762878
C89YVYS8RINE8LHLO,12/31/2023,333726
C89YVYS8RINE8LHLO,11/30/2024,6753915
4HER62QO48L3HOLG6,12/31/2024,5867116
MHREEFELDOONUMCHP,8/31/2023,4504385
C89YVYS8RINE8LHLO,2/28/2023,1379177
IGOQX9XYBSRDMOZXT,4/30/2024,2622158
UXT0SVW2ICMQTZACJ,6/30/2024,5433559
DLTTACGP89H6U008M,8/31/2023,1839666
K2DBNBQ09G1QCCD7W,4/30/2023,4118196
K2DBNBQ09G1QCCD7W,7/31/2024,1958162
XEVZL0LOYONKMBWZY,6/30/2024,2582548
375WULANW2HVOVK5J,12/31/2023,4963886
E0P3U76BSR8JVOEAS,9/30/2024,6513963
E0ZB60NF3G5K4VREU,7/31/2023,4974064
Y9LTUSGD9M83VAB0I,9/30/2023,2469438
MUIZHHC8NUPU3856X,5/31/2024,2286445
BJ37EOP5EGMDLO3MP,8/31/2023,547124
PQHMTD7TS2Q7AM9C6,7/31/2023,5422803
IC9TR053SOF1562RK,4/30/2024,3709782
SKH4GHZSBWP3QGNNK,6/30/2024,4493645
XYYJ1CS2J4N0KXRG2,5/31/2024,5776205
R7Q4Z9AULIORDJQ9D,4/30/2023,5619155
IAXUMLO4Y4HXEEHHC,9/30/2024,3856141
4M67RWDJ0PY180OMY,9/30/2024,3968695
KUD4O3VLEGN7O0D3B,1/31/2024,1884323
QNCADSU9WB6X6JEXE,5/31/2023,2216970
977FYO2GIYKZOIEB6,7/31/2023,4942634
9Y4LCJDQLDU43LOK4,11/30/2023,5278153
FXIQJ8T0RNKU5YYZL,8/31/2024,22674
PSRCQ6DW4S2N7175C,12/31/2024,882415
R6XC1HPW2F2OYGFS2,11/30/2023,1680892
BUDE132ZGBWCF5SIZ,5/31/2023,2776455
5P7TLU9HROJCCH8XF,10/31/2023,4219958
AXH5M6W00RW6A1MRV,5/31/2023,5032983
OEZ236PKMC6MBM3TB,9/30/2023,4403047
MHREEFELDOONUMCHP,9/30/2023,5736531
N28ZTD9G5EYTS9PZY,11/30/2024,1504696
OQ5Y6DD3YNNZYDOK7,12/31/2024,3595837
0TQ17VI65FDDKT227,9/30/2024,5354708
GTLAUQABS3K1IHWCJ,5/31/2023,3595046
KCLWQ204AZ5D2W8QN,9/30/2024,472092
FA2OC6FGIMI4S37PU,11/30/2023,2331615
IC9TR053SOF1562RK,7/31/2023,5175918
I9WWI0Z0BQBBIKN76,8/31/2024,5011536
5CS7MKN5CCCZTYEH8,1/31/2024,6357557
BOWGL6ZFJ8V4E620T,9/30/2023,2448134
XEVZL0LOYONKMBWZY,11/30/2024,2705118
XT6P8GPRWDSJSYZKR,9/30/2023,6383593
FXIQJ8T0RNKU5YYZL,3/31/2024,1823277
FBMRRTAV36KC40D1Z,3/31/2024,137339
7ZQT4ZSYX2JJH3BHK,11/30/2023,6985958
D0HW4TD0CUW9XJQPX,8/31/2023,2962510
V1SRV6QGJWWC8JVW0,9/30/2023,2813994
K4BAGGWMVBZXC8Z0R,9/30/2024,2446871
OBPVWFPY1GIGMACGG,6/30/2024,2916662
ZBRHGSC2D0501QLTX,11/30/2024,2762313
THJ9OBJH3W6ANRCMS,1/31/2024,3658566
BUDE132ZGBWCF5SIZ,7/31/2023,5142753
7MQU99ZO49YXI2EDE,5/31/2023,126280
K4BAGGWMVBZXC8Z0R,5/31/2023,847435
E0ZB60NF3G5K4VREU,10/31/2024,801599
2XCK13Y6KY3FTUJ0T,6/30/2024,5602118
6RNZ6V20ZBCHCCIPT,2/28/2023,5079377
K7OLAZQZTOKBXBQVR,7/31/2023,6696768
PQHMTD7TS2Q7AM9C6,1/31/2023,3531348
ITDKGZGY3D1CQ22P4,2/29/2024,2866249
83Y10YDW1OI06N9ZM,9/30/2024,4622749
OQ5Y6DD3YNNZYDOK7,9/30/2024,1786932
BOWGL6ZFJ8V4E620T,11/30/2024,4178352
5SKDNN35BDFYCRZ3T,1/31/2023,2578451
7ZQT4ZSYX2JJH3BHK,5/31/2023,6895572
AIQASN1W6XH7O9AI8,1/31/2024,2400276
Y9LTUSGD9M83VAB0I,5/31/2024,441657
FA2OC6FGIMI4S37PU,8/31/2023,4497127
KLRH1ZESF492S056H,4/30/2024,6012279
4M67RWDJ0PY180OMY,11/30/2023,2878419
5CS7MKN5CCCZTYEH8,6/30/2024,1691608
63FO2A0KBYVLDNRAA,8/31/2024,6425876
BUDE132ZGBWCF5SIZ,10/31/2023,4280421
FDS0N1SJL1R9K1IB4,5/31/2023,1649722
Y6PZ8ICUVSNUUVGC6,12/31/2024,6517576
RRS0030J6RHTUQ2RK,5/31/2024,4748956
KVXACS7SB5O59ARQP,7/31/2023,5197472
977FYO2GIYKZOIEB6,11/30/2024,6304396
09SYGN7IXDQV5X9IP,3/31/2024,4259916
73LDIXZVJOQFRMHNZ,11/30/2024,4164807
9NWFWJ38XN31WBFXG,11/30/2023,487266
F5AUCVPQMIXFMLKNY,8/31/2024,4367957
7MQU99ZO49YXI2EDE,12/31/2023,6980685
BUDE132ZGBWCF5SIZ,4/30/2024,5726305
XYYJ1CS2J4N0KXRG2,4/30/2023,1018321
9NWFWJ38XN31WBFXG,4/30/2024,3769389
ZBRHGSC2D0501QLTX,5/31/2024,6746982
LMHCV45KAJNLAV6CI,6/30/2023,2574155
83Y10YDW1OI06N9ZM,10/31/2024,6424045
UP8K03IYUM8HZ8NLC,3/31/2023,2685242
15J0ZCH8C1O665RTF,12/31/2024,2879908
9G2XZ3XNAY7J6KTJN,6/30/2024,1791345
XTUS49QJ4P8A8OCOB,12/31/2023,2010180
OCCKGZM8DIZCYX3CJ,10/31/2023,6860783
4TL0TI5WAALM6P0AH,9/30/2024,3575741
U01UYM0KLQO7ZMKXL,10/31/2024,5740324
XTUS49QJ4P8A8OCOB,7/31/2023,2048027
Y6PZ8ICUVSNUUVGC6,4/30/2023,4311881
7AQPGU50TED28A7G6,2/28/2023,4602472
AIQASN1W6XH7O9AI8,7/31/2023,4267154
1MFXZRYV4MFOBXIAJ,9/30/2023,1932318
869YG73INQB5W1NQT,12/31/2023,2976546
DJXLPRMY5ZZMANLU6,2/28/2023,6573110
9IL03MCKH41ZX8EVC,6/30/2024,404126
GTLAUQABS3K1IHWCJ,1/31/2023,2831374
D7UUQ6CP4DWYGZF0Z,2/28/2023,61746
6N7C2M20A97S9IENG,3/31/2023,4285973
V1SRV6QGJWWC8JVW0,11/30/2024,3400670
G6R001Q73KLXUDPTV,11/30/2024,201770
SUK8675QWKY38XUZB,1/31/2024,5921164
9F27PNL29KIWUI8V1,2/29/2024,6758827
PSRCQ6DW4S2N7175C,1/31/2024,1579888
T16X6RLA2J523LYRZ,1/31/2023,5802522
15J0ZCH8C1O665RTF,2/29/2024,5966343
09SYGN7IXDQV5X9IP,8/31/2024,233751
IHBDM8XWHP0LUZ7NR,1/31/2023,2187585
VU97XYAGZZS7LOG4E,8/31/2024,6123877
GTLAUQABS3K1IHWCJ,6/30/2023,2521438
15J0ZCH8C1O665RTF,7/31/2023,4360051
XTUS49QJ4P8A8OCOB,4/30/2024,919704
KLRH1ZESF492S056H,12/31/2024,6847080
G6R001Q73KLXUDPTV,5/31/2023,1144329
V1SRV6QGJWWC8JVW0,8/31/2023,2499469
DLRDFJ40BGVP9H10W,1/31/2024,4410005
U01UYM0KLQO7ZMKXL,12/31/2023,6002191
F5AUCVPQMIXFMLKNY,4/30/2024,2392719
FQJP2PBU50DG45YX3,11/30/2024,3301026
73LDIXZVJOQFRMHNZ,5/31/2023,3660271
6T645BU8TYM8VGXKO,10/31/2024,4798947
VZPJAHRX89B2CPA40,2/29/2024,318852
4TL0TI5WAALM6P0AH,12/31/2024,759814
VIOMZ3660T8XTY6RC,1/31/2024,3884333
7AQPGU50TED28A7G6,7/31/2023,5987894
PSRCQ6DW4S2N7175C,8/31/2023,5975886
EX2GMK7UHXBM6P2OW,5/31/2023,505192
4HER62QO48L3HOLG6,8/31/2024,6755276
09SYGN7IXDQV5X9IP,9/30/2024,1805799
4HER62QO48L3HOLG6,6/30/2023,1929658
6O996AT92IZ9926S5,11/30/2023,713389
F5AUCVPQMIXFMLKNY,12/31/2024,6059641
5P7TLU9HROJCCH8XF,5/31/2024,4305789
1MFXZRYV4MFOBXIAJ,7/31/2024,619151
DWJ0GFUKS12L7Y0G9,9/30/2024,5396543
SSP73CDZATG8LX9V1,9/30/2024,5786312
4TL0TI5WAALM6P0AH,5/31/2023,547574
V1SRV6QGJWWC8JVW0,1/31/2024,739736
LMHCV45KAJNLAV6CI,7/31/2023,775213
D0HW4TD0CUW9XJQPX,3/31/2024,5439
15J0ZCH8C1O665RTF,3/31/2023,1892136
IGOQX9XYBSRDMOZXT,12/31/2023,6537601
JTZWA92S5243CPZDG,8/31/2023,6845058
375WULANW2HVOVK5J,6/30/2024,1704878
T16X6RLA2J523LYRZ,8/31/2023,812405
OBPVWFPY1GIGMACGG,1/31/2024,1723522
R6XC1HPW2F2OYGFS2,10/31/2023,3949959
63FO2A0KBYVLDNRAA,12/31/2024,670219
375WULANW2HVOVK5J,1/31/2024,6898166
SKH4GHZSBWP3QGNNK,7/31/2024,6689724
EX2GMK7UHXBM6P2OW,3/31/2023,6052363
ITDKGZGY3D1CQ22P4,10/31/2023,5855426
FA2OC6FGIMI4S37PU,6/30/2024,2064399
BJSA6PK9IP3QNY0GU,12/31/2023,1710655
I9WWI0Z0BQBBIKN76,5/31/2024,3019185
6RNZ6V20ZBCHCCIPT,8/31/2023,3157744
A4JYPUIFCGXQSH8XL,3/31/2024,5339367
PSRCQ6DW4S2N7175C,9/30/2024,3596255
MUIZHHC8NUPU3856X,12/31/2023,4196283
VNTN2FOUQHBSVRLKZ,9/30/2024,3660851
GFMBMLM8423RIAEDD,11/30/2023,1531023
FXIQJ8T0RNKU5YYZL,5/31/2024,1503507
I9WWI0Z0BQBBIKN76,7/31/2023,476355
KVXACS7SB5O59ARQP,2/29/2024,2237238
